Date,Workout,Uwagi
2021-08-02,"Rowing: 2k, time: 8:43, SPM 19
DL: 70x10x10",Deadlifty dosc latwo. Jeszcze czulem troche w nogach poprzednia sesje z 90kg. ERG dosc swobodnie.
2021-08-04,"Rowing: 2k
FSQ: 20x2x5, 30x5, 40x5, 50x5, 60x5x4
Pullups: 5x2x5, 10x5, 15x5x5, 10x5 ","Pierwszy raz 60kg FSQ tyle razy. Pullupsy troche ciezko mi wchodzily, ale w sumie ok"
2021-08-05,"DL: 20x1x10, 40x1x10, 70x1x5, 80x1x5, 90x1x5, 100x6x5
FSQ: 20x2x5, 30x1x5, 40x6x5","100 kg w DL dawno nie robilem. wydawalo sie troche ciezkawo, ale w sumie latwo poszlo. zobaczymy, jak bedzie dalej."
2021-08-06,"Rowing: 5k time: 22:36, SPM 17/18
Pullups: 5x5x5
FSQ: 20x2x5, 30x2x5, 40x10x5, ostatnia seria 10 powtórzeń","Kurde, cieżko mi sie wioslowalo. czułem się zmęczony i słabo wydajny. Niby czas nie był najgorszy, ale nie było łatwo. Może jest to też wynik treningów z tego tygodnia. Ciężkie DL i FSQ. Przy pullupsach też było cieżko. Jednak ostatni trening z 15kg dał się we znaki. Jutro zrobię coś lekkiego."
2021-08-07,"KB, PR: 16x5x5
SW: 32x10x10
DL: 20x1x10, 50x1x10, 60x5x10, 60x5x15","Pressy cieżko mi się robiło. Dawno nie robiłem tego ćwiczenia. SW raczej łatwo, ale nie robiłem jeszcze dzis SN, ze względu na zmęczenie po tym tygodniu. DL większa objętość, ale dość łatwo."
2021-08-08,"Rowling 5k, time 22:17, SPM 17
FSQ 20x2x5, 30x2x5, 40x10x5",
2021-08-11,"FSQ 20*1*10, 30*1*5, 40*1*5, 45*1*5, 50*1*5, 60*5*5
Pullups 5*2*5, 10*5*5",
2021-08-12,"Rowing: 5k, time 22.06, SPM 18
FSQ 20x1x10, 30x1x10, 40x5x10",Pierwszy raz robiłem w serii po 10 ruchów. W sumie nie było ciężko
2021-08-13,"Rowing: 2k
DL: 20x1x10, 60x10, 70x1x5, 80x1x5, 90x1x5, 100x1x5, 105x5x5
FSQ: 20x10, 30x10, 40x2x5, 50x3x5","105 w DL nie bylo zbyt ciezkie, ale tez nie bylo b. lekkie. Robilem w nowej silowni i tam dziwnie sztanga odbijala sie od podlogi i talerze tez byly dziwne, takie gumowe. O dziwo w pierwszych seriah czulem malutki bol w lewym ramieniu, przy obojczyku."
2021-08-14,"KB, PR 16x6x5
SW: 32x10x10
SN: 20x11x10 L+R
pullups: 12x6x5",pullupsy jakoś ciężko mi się robiło. SN w sumie lekko i nie zerwałem lapy.
2021-08-15,"Rowing: 5k, time: 21:55, SPM: 18
FSQ: 20x1x10, 30x1x5, 40x10x5","Chciałem sobie luzno powioslowac ale jakos wyszlo mi pod koniec, ze mam szansę popłynąć poniżej 22 min., wiec troche przycisnałem pod koniec i sie udało. a byłem taki zmeczony na początku treningu. FSQ dosc luzno, zeby nie przegiac. Next week ide w gore z DL i sprobuje tez z FSQ."
2021-08-17,"Pullups: 5x5x5
DL: 70x10x10
FSQ: 20x1x10, 30x1x10, 40x8x5","DL lekko. pullup-y tez lekko, ale to byl maly ciezar. z FSQ tez po prostu powtarzalem wzorzec ruchowy. I tak jestem trochę obolaly. w tym tygodniu ide do gory z DL. z pullupami moze sprobuje przez jakis czas robic male ciezary, zeby zbudowac baze, a potem isc do gory z ciezarem."
2021-08-18,"Rowing: 5k, time: 22:40, SPM 17
Pullups: 5x5x5
FSQ: 20x1x5, 30x1x5, 40x5x5","Chciałem troche luzniej powioslowac i wyszlo mi 22:40, ale SPM byl maly. Bylem dzis zmeczony, wiec nie chcialem forsowac tempa. Pullupsy i FSq tak dla przecwiczenia wzorca. jutro chce robic martwe."
2021-08-20,"Rowing: 2k
DL: 20x1x10, 70x1x5, 80x1x5, 90x1x5, 100x1x5, 110x5x5
Pullups: 5x5x5",DL nawet lekko. Zwlaszcza ostatnie serie.
2021-08-21,"KB, PR 16*6*5
SW 32*7*10, 32*4*15
Pullups 8*10*5","Fatalnie spałem tej nocy, nadwyrezylem kark i w ogóle nie byłem w humorze, także nie robiłem ciężkiego treningu, ani SN. TM bardziej, że w planach są kajaki dziś z Karczewa do Wawy."
2021-08-22,"Rowing: 2k
FSQ: 20x1x10, 30x1x5, 40x1x5, 50x5x4
Pullups: 5x5x5","chciałem dzis pojsc w gore z FSQ, ale sie fatalnie czułem. nawet nie wszedłem na 60kg. wymęczony, bez siły i bez chęci. "
2021-08-24,"DL: 20x1x10, 70x10x10
Pullups: 5x5x5",
2021-08-25,"Rowing: 2k
Pullups: 5x5x5
FSQ: 20x1x10, 30x1x5, 40x10x5
Pullover 1x5",
2021-08-27,"DL: 20x2x10, 50x1x10, 70x1x5, 80x1x5, 90x1x5, 100x1x5, 110x1x5, 115x5x5
Pullups: 5x5x5
Pullover: 1x5",zadziwiajaco 115 w DL poszlo latwo. Zwracalem wieksza uwage na spiecie ciala w poczatkowej pozycji tzn. w momencie rozpoczecia ruchu. zwłaszcza napiecia w nogach i posladkach.
2021-08-28,"KB, PR 16x6x5
SW: 32x5x10, 32x5x15
SN 28x5 L/R
SN 20x6x10 L+R","Wstałem trochę obolały po wczorajszych ciągach, ale pojechałem na trening. Ze SN musiałem uważać, żeby nie zerwać łapy."
2021-08-29,"Rowing: 5k, time: 22:03, SPM 18.
FSQ: 20x1x10, 30x1x5, 40x10x5
Pullups: 5x8x5","niby chcialem luzno powioslowac, a wyszlo znowu blisko 22 min. a bylem rano taki obolaly po martwych w piatek i kettlach wczorajszych. zaskakujaco ostatni km wyszedl dosc szybko - ok 2.02 / 500m. i wcale sie nie zmeczylem specjalnie. tylko troche bardziej przycisnalem ostatni k."
2021-08-31,"DL: 20x1x10, 50x1x10, 70x10x10
Pullups: 5x6x5","DL dosc latwo po 1 serii. Moze za niedlugo zwiększyć do 80? Pullupsy spoko. Po niedzieli czulem troche plecy, ale dzien przerwy pomogl i dzis bylo ok."
2021-09-02,"DL: 20x1x10, 50x1x10, 70x1x5, 80x1x5, 90x1x5, 100x1x5, 110x1x5, 120x5x5
Pullups: 5x5x5
FSQ: 20x5, 30x5, 40x5, 50x5, 60x5, 70x3","pierwszy raz 70 w FSQ. DL nawet nie tak ciezko, ale uchwyt miałem słaby i troche mi zaczynała się ręka otwierac"
2021-09-03,"Rowing: 5k, time: 21:55, SPM 19
FSQ: 20x1x10, 30x1x5, 40x5x10, 40x2x5",Niespodziewanie znowu poniezej 22 min 5k. a początek był taki wolny... Dzis rano obudziłem się z obolałym ciałem. To chyba po wczorajszych ciągach. ale mimo tego i tak dzis zrobilem FSQ na mniejszym ciężarze. po prostu chce wzmacniać mięśnie i robic podstawe pod pozniejsze wieksze ciezary.
2021-09-04,"KB, PR: 16x1x5, 20x2x3, 20x2x3, 20x3x1
SW: 32x5x15 1min break, 32x5x10 1min, + 32x1x15, 32x1x10","Nie zrobilem dzis calego treningu. zamykali klub szybciej. ale porobiłem trochę PR z 20 kg i było ciężkawo, ale w sumie ok"
2021-09-05,"Rowing: 5k, 23:03, SPL 18
FSQ: 20x1x10, 30x1x5, 40x10x5","chcialem duuzo wolniej powioslowac i prawie mi sie udalo. zrobilem FSq, zeby troche volume nabic. zapomnialem magnezji, a chcialem sie jeszcze podciagac."
2021-09-06,"DL 20x1x10. 40x1x10, 60x1x10, 70x10x10
Pullups: 5x6x5","DL byly lekkie, ale ogolnie bylem troche zmeczony. zobaczymy, jak pojda 125 this week"
2021-09-08,"pullups: 5x5x5
DL: 30x1x10, 50x1x5, 70x1x5, 80x1x5, 90x1x5, 100x1x5, 110x1x5, 120x1x5, 125x5x5
ROwing: 2k","DL zaskakujaco latwo. W trakcie pierwszej serii puscil mi chwyt i musialem zastosowac hook grip, ale potem wszystko poszlo ok. I bylem zaskoczony, ze tak latwo mi idzie. Kurde, moze uda sie zrobic te 140x5x5, a moze nawet wejsc na 150"
2021-09-09,"DL: 70x1x10, 80x1x10, 90x1x5, 100x5x5
FSQ: 20x1x10, 30x1x10, 40x8x5
Pullups: 5x8x5",
2021-09-11,"KB; PR, 16x1x5 L/R, 20x4x3 L/R
KB, SW 32x20x6
SN 20x6x10 L+R
Pullups: 8x3x5
DL 60x5x10",
2021-09-12,"Rowing: 5k, time: 23:03, SPM 18
FSQ: 20x1x10, 30x1x5, 40x10x5",Byłoem dość obolały po całym tygodniu treningow. I wieczorem czuje niezle miesnie ud. ale i tak jestem pełen ciekawosci i zapału do nastepnych ciezkich DL next week. 
2021-09-14,"Rowing: 5k, time: 22:19, SPM 19
FSQ: 20x1x10, 30x1x5, 40x5x5
Pullus: 5x5x5",
2021-09-15,"DL: 60x1x10, 70x1x5, 80x1x5, 90x1x5, 100x1x5, 110x1x5, 120x1x5
130x5x5","Dzis tylko DL. W sumie nie bylo tak ciezko. Tylko w pierwszej serii musialem sie zaadoptowac do ciezaru. Podnosilem w paskach. Ostatnie powtorzenie w treningu juz troche ciezko. Bylem bardziej zniechęcony, niz bez sily. Przerwy ok 5 min. ale w sumie jestem zadowolony z treningu."
2021-09-17,"Rowing: 5k, time: 23.40, SPL - 17
FSQ: 20x1x10, 30x1x5, 40x1x5, 50x6x5",
2021-09-18,"KB; PR, 16x1x5, 20x4x3, 20x3x2, 20x3x1
KB, SW: 32 - 20, 19, 18, 17, 16, 15, 15,  14, 13, 12, 11, 10
Pullups: 8x5x5 ","Jestem przeziebiony i boli mnie gardlo i nie czuje sie na 100. Nie robilem SN, ale zrobilem wiecej SW. Next week chce sprobowac DL 140!"
2021-09-20,"DL: 30x1x10, 70x10x10
FSQ: 20x1x10, 30x1x5, 40x1x5, 50x4x5
Pullups: 5x1x5, 10x6x5",Pullupsy dobrze mi weszly. tak samo reszta
2021-09-21,"Rowing: 5k, time: 22:20, SPM 19
FSQ: 20x1x10, 30x1x5, 40x7x5",
2021-09-22,"DL: 70x1x5, 80x1x5, 90x1x5, 100x1x5, 110x1x5, 120x1x5, 130x1x3, 140x5x5","140 w DL poszlo dosc latwo. Od 130 w paskach. robilem dluzsze przerwy miedzy seriami -  nawet do 7 minut. ale technika w sumie byla ok. jestem zadowolony.nie ciagnalem grzebietem i nie puszczaly mi plecy. next week probuje 150, a potem deload."
2021-09-25,"KB, PR: 16x1x5, 20x1x3, 16x4x5
KB, SW: 32kg,  20, 19, 18, 17, 16, 15, 15, 14, 13 , 12, 11, 10, 10, 10
Pullups: 8x5x5","chciałem wiecej pocwiczyc, ale bylem bardzo zmeczony po wczorajszej pracy. po 1 serii PR 20, stwierdzilem, ze jestem zmeczony i chce sie oszczedzac i zrobic lekki trening. ale zrobilem 200 SW"
2021-09-26,"Rowing: 5k, time 22:35, SPM 19
FSQ 20x1x10, 30x1x5, 40x5x5",
2021-09-28,"pullups: 5x1x5, 10x2x5, 15x5x5, 20x1x5
FSQ: 20x1x10, 30x1x5, 40x10x5
Pullover: 1x5",jutro ciezki DL. Dzis spalem fatalnie. Ostatnie serie FSQ latwe.
2021-09-29,"DL: 20x1x10, 70x1x5, 80x1x5, 90x1x5, 100x1x5, 110x1x5, 120x1x5, 130x1x1, 140x1x1
150x1x4, 150x1x2, 140x2x5
Pullups: 5x4x5","Pierwszy raz 150 w DL. W drugiej serii odcielo mi psyche. 150 to juz troche ciezko i sztanga szła wolno do gory. Pierwsza faza ruchu jest slabsza u mnie. Musze pomyslec, jak ja poprawic. 150x5x5 jest generalnie w moim zasiegu. ostatnie 140x2x5 latwo"
2021-10-01,"pullups: 5x1x5, 10x1x5, 15x1x5, 20x5x5
FSQ: 20x1x10, 30x1x5, 40x1x5, 50x5x5
back ext 1x10",pullups z 20kg dobrze weszly. dawno nie robilem takich ciezarow. FSQ latwo z 50
2021-10-02,"KB, PR: 16x1x5 L,R,  20x3x3 L/R, 20x3x2 L/R, 20x3x1 L/R
KB, 1H SW 28x6x10 L/R","Bylem mega zmeczony po całym tygodniu, wiec krotki trening"
2021-10-04,"Rowing: 5k, time 21:47, SPM 19
DL: 20x1x10, 50x1x10,70x8x10","Miałem poczucie, ze dawno nie wioslowalem. Moze bylem poirytowany lub sfrustrowany, ale  mialem troche energii i dosc szybko mi sie wioslowalo.
W DL nie chcialem przeginac. Troche nogi mnie bolaly po poprzednim tygodniu i dzisiejszej pracy. Pierwsze serie troche trudno, potem łatwo. Nie wiem, co mam dalej robic. czy tylko 1 tydzien deload, czy dluzszy okres z wieksza objetoscia."
2021-10-05,"pullups 5x2x5, 10x2x5, 15x6x5
FSQ: 20x1x10, 30x1x10, 40x1x5, 50x5x5
back extention: 5x10",
2021-10-06,"Rowing: 5k, time: 22:08, SPM 20
DL: 20x1x10, 70x1x5, 80x1x5, 90x1x5, 100x1x5, 110x1x5, 120x5x5","120 w DL super latwo. Nadal mysle, co dalej robic. "
2021-10-09,"KB, PR 16x1x5 L/R
KB, PR 20x5x3, 20x3x2, 20x4x1 L/R
KB, 1HSW 28x7x10 L+R
Pullups: 6x1x5, 12x5x5",
2021-10-11,"DL: 20x1x10, 70x5x10 - snatch grip, 70x5x10 deficit
FSQ: 20x1x10, 30x1x5, 40x1x5, 50x1x5, 60x1x5, 60x2x3, 50x1x5",FSQ jakos b. ciezko. Zastanawiajaco. DL latwo
2021-10-12,"Pullups: 5x1x5, 10x1x5, 15x1x5, 20x1x5, 25x5x5, 20x2x5
Back ext: 15x4","Pierwszy raz takie pullupsy. Bylo dosc latwo. Po wczoraj i zeszylym tygodniu mega mam zmeczone nogi, wiec dzis nie robilem FSQ"
2021-10-14,"DL: 20x1x10, 70x1x5, 80x1x5, 90x1x5, 100x1x5, 110x1x5, 120x5x5",120 poszlo bardzo latwo!
2021-10-15,"Pullups 5 x 10 x 5
Back ext 10 x 10
FSQ 20x1x10, 30x1x5, 40x1x5, 50x5x5",FSQ już dobrze wchodzly
2021-10-16,"KB, PR  L/R hand: 16x1x5, 20x1x1 (warm-up), 20x1x4, 20x4x3, 20x4x2, 20x5x1
KB, SW 32: 20, 19, 18, 17, 16, 15, 15, 14, 13, 12, 11, 10, 20 = 200",troche bylem zmeczony po calym tygodniu pracy i treningow. nie cisnalem nic wiecej
2021-10-19,"Pullups: 5x1x5, 10x1x5, 15x10x5
Back ext: 5x10
FSQ: 40x1x5, 50x5x5
Pullover 5x1",FSQ łatwo poszły. Dwa dni odpoczynku dobrze mi zrobiły
2021-10-26,"Pullups 5x5, 10x5, 15x5, 20x5, 25x5, 30x2x5, 25x2x5, 20x5
Back ext 15x5
FSQ 40x1x5, 50x5x5",
2021-10-28,"Rowing: 5k, time: 22:13, SPM 18","Dawno nie wioslowalem, ponad 3 tygodnie chyba. Dlatego nie mialem za wielkich oczekiwan co do tego treningu, ale poszlo w sumie dosc dobrze. Mimo zmęcznia po pracy i ogolnego zmeczenia po ciezkim treningu we wtorek. Chcialem nawet powioslowac w tempie na 25 min, czyli badzo swobodnie, ale po raz kolejny sie okazalo, ze nie potrafie za bardzo luzno plynac. Kurde, chyba potrzebuje troche na to zwrocic uwage, czemu prawie zawsze tylko cisne."
2021-10-31,"DL: 20x1x10, 70x1x5, 80x1x5, 90x1x5, 100x5x8
Rowing: 5k, time: 22:03, SPM 19","Zaczynam nowy blok siłowy w DL. Ide do gory co 5kg i robi 5 serii i 8 powtorzen. Gdy 8 nie bedzie wchodzic, przechodze na 5 powtorzen i zobaczymy, czy uda mi sie przejsc 150kg."
2021-11-01,"FSQ: 40x3x5, 50x5x5, 40x1x5
back ext 15x7",
2021-11-03,"pullups: 5kg x 1 x5, 10x1x5, 15x10x5
FSQ: 20x1x10, 40x1x5, 50x5x5","niby po wczesniejszym treningu nogi mnie bolaly i miesnie byly zmeczone, ale FSQ zaskakujaco latwo mi poszly"
2021-11-03,"DL: 60x1x5, 80x1x5, 90x1x5, 100x1x5, 105x8x5
Rowing: 5k, time: 23,03, SPM 19",DL dosc latwo poszly. ale w sumie to maly ciezar jeszcze
2021-11-07,"KB, PR: 12x1x5,16x1x5, 20x3x3, 16x4x5 L/R
SW: 32x5x20, 32x6x15, 32x1x10","Dawno nie cwiczylem z KB i bylem bardzo wymeczony po tygodniu. PR nie wchodzily za dobrze, dlatego nie cisnalem za bardzo. i standardowo 200 SW"
2021-11-10,"Pullups 5x1x5, 10x1x5, 15x1x5, 20x7x5
FSQ: 20x1x10, 40x1x5, 50x5x5",
2021-11-11,"DL 20x1x10, 60x1x10, 80x1x5, 90x1x5, 100x1x5, 110x5x8, 100x2x8
Rowing: 5k, time 23:03",
2021-11-13,"KB, PR: L/R - 16x1x5, 20x1x4, 20x2x3, 20x2x2, 20x2x1
KB, SW L+R, 20x7x10 ","Siła była, ale znowu porwałem łapy. 4 zerwane odciski na lewej i 2 na prawej"
2021-11-16,"Pullups: 5x1x5, 10x3x5, 15x3x5, 20x5x5
Back ext: 15x4
FSQ: 20x1x10, 40x1x5, 50x5x5",
2021-11-20,"Rowing: 5k, time: 22.39, SPM 19",
2021-11-23,"Rowing 5k, time 23.40, SPM 17
FSQ 20x1x10, 40x4x5, 50x3x5, 60x1x3",1 raz udało mi się wolno popłynąć 5k
2021-11-24,"Pullups: 5x1x5, 10x1x5, 15x1x5, 20x5x5
FSQ: 20x1x10, 40x1x5, 50x5x5","FSQ łatwo poszły, mimo ze wczoraj robilem sporo powtorzen."
2021-11-24,"Rowing: 2k
DL: 20x1x10, 70x1x5, 80x1x5, 90x1x5, 100x1x5, 110x1x5, 120x5x8","DL w sumie łatwo poszly. od 110 w paskach. ostatnie powotorzenia w seriach ciezej, przerwa na 1-2 oddechy. Ostatnie 2 ruchy w treningu ciezej. przerwa przed kazdym ruchem. kurde, zastanawiam sie, na ile dam rade pocisnac 125x5x8. zobaczymy. i tak nigdy takiej objetosci z takim ciezarem nie robilem, wiec jestem zadowolony "
2021-12-01,"Rowing: 5k, time: 22.54, SPM 17
FSQ 20x1x10, 40x1x5, 60x1x5, 60x3x4","To  workout, ktory zrobilem 2 dni temu. Dzis powininem robic ciezkie ciagi, ale zle spalem i mialem biegunke, wiec pewnie cos innego zrobie"
2021-12-03,"DL 70x1x5, 80x1x5, 100x1x5, 110x1x5, 120x1x5, 125x5x8 w paskach

Pullups 20x7x5","Słabo przespane noce 2 I biegunka, ale poszło łatwo. Może też dlatego, że ładowałem węglowodany wcześniej. Ale była siła i nigdy takiej objętości nie robiłem takim ciężarem."
2021-12-04,"KB: PR 16x1x5 L/R, 20x4x3 L/R
KB, SW, 32x12x15 + 32x1x20 = 200 SW",
2021-12-14,"pullups: 5x1x5, 10x1x5, 15x1x5, 20x6x5
back ext 6x10
FSQ: 20x1x10, 40x5x5","mialem dluzsza przerwe, wiec nie szalalem"
2021-12-17,"DL: 60x1x10, 80x1x5, 90x1x5, 100x1x5, 110x1x5, 120x1x5, 130x5x5 
Rowing: 2k","2 tygodnie przerwy od DL. nie wiedzialem, jak pojdzie. Niby sila byla, ale technika nie za dobrze. zobaczymy, jak bedzie next week. 130 w paskach, nizej bez."
2021-12-18,"KB, PR 16 (1+2+3) x 4 L/R
1HSW 28 5x10 L/R
Dead Hang - 60 sek",Mega zmęczony po tygodniu. nie mialem nawet sily dluzej wisiec. Probuje w PR nowa drabine i program.
2021-12-21,"Pullups: 5x1x5, 10x1x5, 15x1x5, 20x4x5, 10x5x5
FSQ: 20x1x10, 40x1x5, 50x4x5","Jakoś ciezko mi wchodzily pullupsy. dlatego nie robilem wiecej z 20kg, tylko zszedłem do 10kg. FSQ w sumie ok"
2021-12-23,"DL: 50x1x5, 70x1x5, 80x1x5, 100x1x5, 110x1x5, 120x1x3, 135x5x5","Pierwsza seria ciezkawo, latwiej niz last week 130. potem ok. ostatnia seria juz na zmeczeniu."
2021-12-28,"Pullups: 5x1x5, 10x1x5, 15x1x5, 20x5x5
FSQ: 20x1x10, 40x1x5, 50x5x5",
2022-01-04,"Pullups: 5x1x5, 10x1x5, 15x1x5, 20x6x5
FSQ: 20x1x10, 40x1x5, 50x6x5
Pullups: 10x3x5",
2022-01-06,"DL: 20x1x10, 70x1x5, 80x1x5, 100x1x5, 110x1x5, 120x1x3, 130x5x5 
Pullups: 5x1x5, 10x7x5","DL, 130 w paskach. nawet latwo poszlo. next week 140!"
2022-01-07,"Rowing: 5k, time: 24.07, SPM 18",Dawno nie wioslowalem. ostatni raz pod koniec listopada. nawet poszlo dosc latwo. 
2022-01-07,"Rowing: 5k, time: 22.47, SPM 17
KB, PR: 16 1+2+3 L, R x 4
Pullups: 5x1x5, 10x7x5","ERG dosc latwo, mimo ze spm nisko i czas w sumie ok, mimo wolnego wioslowania"
2022-01-08,"Rowing: 5k, time 25:20, SPM 17
FSQ 20x1x10, 40x1x5, 50x5x5, 40x1x5",ERG b luzno. probuje zone 2 trening
2022-01-10,"Rowing: 2k
FSQ: 20x1x10, 40x1x5, 50x6x5,40x3x5",
2022-01-10,"Rowing: 5k, time. 25:06, SPM 17
KB, PR 16 kg (1+2+3 L/R) x 5",
2022-01-12,"Rowing:5k, time: 25.17, SPM 18
Pullups: 5x1x5, 10x8x5",ERG --- zone 2 experiment cd
2022-01-13,"DL: 20x1x10, 70x1x5, 80x1x5, 90x1x5, 100x1x5, 110x1x5, 120x1x3, 130x1x3, 140x5x5","W 4 serii, przed ostatnim ruchem musialem sie rozprostowac i wtedy dokonczyc serie. Mialem falstart w  ruchu i potrzebowalem chwile sie zrenenerowac. w sumie bylo dosc ciezkawo.  5 seria latwo. chyba najtrudniejsza byla 1 seria. next week 145, a potem zobaczymy."
2022-01-13,"Rowing: 5k, t: 25.39,  SPM 18","Chcialem zrobic tez KB PR, ale bylem zbyt obolaly po wczorajszych DL"
2022-01-13,"Pullups: 5x5x5, 10x10x5
FSQ: 20x1x10, 40x1x5, 50x5x5",
2022-01-15,"KB, PR: 16 (1, 2, 3)x6 L/R
KB SW: 32: (10, 11, 12, 13, 14, 15, 15, 14, 13, 12, 11, 10)",
2022-01-18,"Rowing: 5k, time: 25.29, SPM 17
FSQ: 20x1x10, 40x1x5, 50x1x5, 55x1x4",
2022-01-18,"Pullups: 5x1x5, 10x2x5, 15x2x5, 20x5x5, 10x2x5",
2022-01-20,"DL: 40x1x10, 70x1x5, 80x1x5, 90x1x5, 100x1x5, 110x1x3, 120x1x3, 130x1x1, 140x1x1, 145x5x5",Pierwszy raz 145x5x5. od 130 w paskach. w sumie poszlo lepiej niz last week 140. ale tez lepiej spalem i mialem lepsze nastawienie. Dodatkowo tez zaczalem bardziej akcentowac faze spiecia calego ciala przed rozpoczeciem lift-u. I to spiecie robi spora roznice.
2022-01-21,"Rowing: 5k, t: 25.39, SPM 18
Pullups: 5x5x5 ",
2022-01-21,"Rowing: 5k, t: 25.40, SMP 18
FSQ: 20x1x10, 40x1x5, 50x4x5",
2022-01-25,"Rowing: 5k, t: 25.31, SMP 17
KB, PR: 16 (1+2+3) L/P x 7",
2022-01-26,"Pullups: 5x1x5, 10x2x5, 15x2x5, 20x4x5, 15x2x5, 10x2x5
FSQ: 20x1x10, 40x1x5, 50x1x5, 55x4x5",
2022-01-26,"DL: 20x1x10, 70x1x5, 80x1x5, 90x1x5, 100x1x5, 110x1x3, 120x1x3, 130x1x1, 140x1x1, 150x4x3","1 raz taka ilosc powtorzen ze 150. Sztanga szla juz wolno do gory, ale w sumie technika nie byla zla i w sumie jestem zadowolony z liftow. ale nie wiem, czy isc w gore do 155?"
2022-01-28,"Rowing: 5k, time 25.31, SPM 18
pullups: 5x5x5",
2022-01-28,"Rowing: 5k, t: 25.37, SPM 18
FSQ: 20x1x5, 40x1x5, 50x5x5",
2022-01-29,"KB, PR: 16 kg (1+2+3) L/R x 8
KB, SW 32x8x10 - w przerwach miedzy seriami PR
Jefferson curl: 16kg, 3x3
sledge 20m x 3, push and back pull",
2022-01-30,"Rowing: 5k, time: 25.25, SPM 17
FSQ: 20x1x10, 40x10x5",
2022-02-01,"Rowing: 5k, time: 25.03, SPM17
Pullups: 5x1x5, 10x5x5",
2022-02-03,"DL: 20x1x10, 70x1x5, 80x1x5, 100x1x5, 110x1x5, 120x1x5, 130x1x3, 140x1x1, 145x5x5, 155x4x3","od 130 straps. Pierwszy raz taki ciezar na powtorzenia! i bylo nawet lepiej, niz 150 last week. moze ostatnie 2 ruchy w treningu byl ciezkie i gorsze technicznie. Mega bylem zadowolony. next week atakuje 160, moze 3x3. zobaczymy"
2022-02-03,"Rowing: 5k, time: 24.59, SPM 17",Chillout po wczorajszych DL
2022-02-04,"FSQ: 20x1x10, 40x1x5, 50x6x5
Rowing: 5k, time 25.01, SPM 16",
2022-02-05,"KB, PR 16 (1+2+3) L/R x 9
KB, SW 32: 180 ladder (20, 19, 18, 17, 16, 15, 15, 14, 13, 12, 11, 10)",
2022-02-07,"Pullups: 5x5x5, 10x10x5",
2022-02-08,"Rowing: 5k, time: 24.31, SPM 17
FSQ: 20x1x10, 40x1x5, 50x1x5, 60x4x4",
2022-02-10,"DL: 20x1x10, 70x1x5, 80x1x5, 90x1x5, 100x1x5, 110x1x1, 120x1x3, 130x1x1, 140x1x1, 150x1x1, 160x3x3!!!","160 poszlo! od 130 w paskach, a 2 ostatnie serie ze 160 w pasie. Jeden byl za szeroki i za sztywny, a drugi byl lepszy. ale w sumie jeszcze nie wiem, czy i na ile mi to pomoglo. mysle co dalej, czy do gory, czy deload."
2022-02-11,"Rowing: 5k, time: 25.01, SPM 17
pullups: 5x5x5, 10x4x5",
2022-02-11,"Rowing: 5k, time: 23.57, SPM 18
FSQ: 20x1x5,  40x1x5,  50x1x5, 60x5x4",
2022-02-12,"Rowing: 5k, time: 23.57,  SPM 18
FSQ: 20x1x5, 40x1x5, 50x1x5, 60x5x4",
2022-02-12,"KB, PR 16 ((1+2+3) L/R ) x 10
KB, SW 32x10x10
Sledge 10m x6",
2022-02-15,"Rowing: 5k, time: 23:58, SPM 17
FSQ: 20x1x5, 40x1x5, 50x4x5",
2022-02-15,"Rowing: 5k, time: 23.58, SPM 17
pullups: 5x1x5, 10x5x5",
2022-02-16,"DL: 20x1x10, 70x1x8, 80x1x8, 90x1x8, 100x5x8","Jestem mega przemeczony. Musze zrobic ze 2 tyg lekkiego treningu, zeby sie zregenerowac"
2022-02-18,"Rowing 5k, time: 21.05, SPM 16",
2022-02-20,"FSQ: 20x1x10, 40x1x5, 50x5x5
pullups: 5x1x5, 10x5x5",
2022-02-23,"Rowing: 5k, time: 24.00, SPM 17
FSQ: 20x1x5, 40x1x5, 50x5x4",
2022-02-23,"DL: 20x1x10, 50x1x5, 70x1x5, 80x1x5, 90x1x5, 100x5x5
Pullups: 5x1x5, 10x5x5",
2022-02-24,"Rowing: 5k, time: 23.4, SPM 17
FSQ: 20x1x10, 40x1x5, 50x6x5",
2022-02-25,"Rowing: 5k, time: 23.50, SPM 17
pullups: 5x1x5, 10x6x5",
2022-02-28,"KB, PR 16 (1, 2, 3, 4) L/R x 3 -- a ladder
KB, SW 32: 20, 19, 18 .... 15, 15, 14, 13, ... 10 = 180 SW",Dawno nie trenowalem z KB i po 2 dniach naciagniete sciegna mnie bolaly.
2022-03-01,"Rowing: 5k, time: 24.00, SPM 17
Pullups: 5x5x5",Trening był wczoraj tzn 28 II. I tez caly dzien bolaly mnie jeszcze nogi/sciegna po sobotnich swingach.
2022-03-01,"Pullups: 5x1x5, 10x1x5, 15x5x5
FSQ: 20x1x10, 40x1x5, 50x1x5, 60x5x4",
2022-03-03,"DL: 20x1x10, 70x1x5, 80x1x5, 100x1x5, 110x5x5",
2022-03-04,"Rowing: 5k, time: 23.35, SPM 17
FSQ: 20x1x10, 40x1x5, 50x6x5",
2022-03-06,"KB, PR 16 (1+2+3+4) L/R x4
KB, SW 32 10x10
Sledge 10x10  / 35kg + sledge (20-30kg?)",
